Other Personal Services;1.0
Printing and Related Support Activities;0.5
Offices of Other Health Practitioners;1.0
Health and Personal Care Stores;0.5
Activities Related to Credit Intermediation;1.0
Other Schools and Instruction;2.0
Furniture Stores;0.5
Rail Transportation;0.5
Other Amusement and Recreation Industries;2.0
Special Food Services;1.0
Other Miscellaneous Store Retailers;0.5
Restaurants and Other Eating Places;2.0
Drugs and Druggists' Sundries Merchant Wholesalers;0.5
Advertising, Public Relations, and Related Services;0.5
Bakeries and Tortilla Manufacturing;0.5
Home Health Care Services;0.5
Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers;0.5
Travel Arrangement and Reservation Services;0.5
Personal Care Services;1.0
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly;1.0
Depository Credit Intermediation;0.5
Sporting Goods, Hobby, and Musical Instrument Stores;0.5
Building Finishing Contractors;0.5
Offices of Dentists;1.0
Clothing Stores;0.5
Other Information Services;0.5
Automotive Repair and Maintenance;0.5
Automotive Parts, Accessories, and Tire Stores;0.5
Drycleaning and Laundry Services;0.5
Motion Picture and Video Industries;0.5
Colleges, Universities, and Professional Schools;2.0
Investigation and Security Services;0.5
Drinking Places (Alcoholic Beverages);2.0
Religious Organizations;1.0
Personal and Household Goods Repair and Maintenance;0.5
Museums, Historical Sites, and Similar Institutions;2.0
Grocery Stores;1.0
Home Furnishings Stores;0.5
Wired and Wireless Telecommunications Carriers;0.5
Consumer Goods Rental;0.5
Offices of Real Estate Agents and Brokers;1.0
Lessors of Real Estate;1.0
Electronics and Appliance Stores;0.5
Nondepository Credit Intermediation;0.5
Other Professional, Scientific, and Technical Services;0.5
Sound Recording Industries;0.5
Building Material and Supplies Dealers;1.0
Other Motor Vehicle Dealers;1.0
Miscellaneous Durable Goods Merchant Wholesalers;0.5
Specialized Freight Trucking;0.5
Glass and Glass Product Manufacturing;0.5
Automobile Dealers;1.0
Used Merchandise Stores;0.5
Building Equipment Contractors;0.5
Management, Scientific, and Technical Consulting Services;0.5
Commercial and Industrial Machinery and Equipment Rental and Leasing;0.5
Management of Companies and Enterprises;0.5
Couriers and Express Delivery Services;0.5
Offices of Physicians;1.0
Individual and Family Services;1.0
General Medical and Surgical Hospitals;2.0
Jewelry, Luggage, and Leather Goods Stores;0.5
Specialty Food Stores;0.5
Gasoline Stations;0.25
Traveler Accommodation;0.5
Accounting, Tax Preparation, Bookkeeping, and Payroll Services;1.0
Automotive Equipment Rental and Leasing;1.0
Shoe Stores;0.5
Apparel, Piece Goods, and Notions Merchant Wholesalers;0.5
Grocery and Related Product Merchant Wholesalers;1.0
Department Stores;0.5
Foundation, Structure, and Building Exterior Contractors;0.5
Other Miscellaneous Manufacturing;0.5
Death Care Services;1.0
Amusement Parks and Arcades;2.0
Waste Treatment and Disposal;0.5
Book Stores and News Dealers;0.5
Beverage Manufacturing;0.5
Activities Related to Real Estate;1.0
Promoters of Performing Arts, Sports, and Similar Events;1.0
Other Ambulatory Health Care Services;0.5
Office Supplies, Stationery, and Gift Stores;0.5
Nursing Care Facilities (Skilled Nursing Facilities);0.5
Data Processing, Hosting, and Related Services;0.5
Greenhouse, Nursery, and Floriculture Production;0.5
Waste Collection;0.5
Justice, Public Order, and Safety Activities;1.0
Social Advocacy Organizations;1.0
Machinery, Equipment, and Supplies Merchant Wholesalers;0.5
Electronic and Precision Equipment Repair and Maintenance;0.5
Beer, Wine, and Liquor Stores;0.5
Architectural, Engineering, and Related Services;0.5
General Merchandise Stores, including Warehouse Clubs and Supercenters;0.5
Outpatient Care Centers;0.5
Lawn and Garden Equipment and Supplies Stores;0.5
Urban Transit Systems;0.5
Scheduled Air Transportation;1.0
Spectator Sports;2.0
Support Activities for Road Transportation;0.5
Administration of Economic Programs;0.5
Agencies, Brokerages, and Other Insurance Related Activities;0.5
Performing Arts Companies;1.0
Other Financial Investment Activities;0.5
Scenic and Sightseeing Transportation, Land;2.0
Gambling Industries;1.0
Florists;0.5
Specialty (except Psychiatric and Substance Abuse) Hospitals;1.0
Household Appliance Manufacturing;0.5
Inland Water Transportation;0.5
Insurance Carriers;1.0
Apparel Accessories and Other Apparel Manufacturing;0.5
Other Transit and Ground Passenger Transportation;0.5
Medical and Diagnostic Laboratories;2.0
Coating, Engraving, Heat Treating, and Allied Activities;0.5
NA;1.0
National Security and International Affairs;0.5
Securities and Commodity Contracts Intermediation and Brokerage;0.5
Legal Services;0.5
Newspaper, Periodical, Book, and Directory Publishers;0.5
Postal Service;0.5
RV (Recreational Vehicle) Parks and Recreational Camps;1.0
Clay Product and Refractory Manufacturing;0.5
Employment Services;1.0
Utility System Construction;0.5
Navigational, Measuring, Electromedical, and Control Instruments Manufacturing;0.5
Warehousing and Storage;0.5
Child Day Care Services;0.5
Remediation and Other Waste Management Services;0.5
Other Transportation Equipment Manufacturing;0.5
Other Leather and Allied Product Manufacturing;0.5
Elementary and Secondary Schools;0.5
Residential Building Construction;0.5
Business Schools and Computer and Management Training;1.0
Grantmaking and Giving Services;0.5
Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers;0.5
Services to Buildings and Dwellings;0.5
